"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"10149","OPTCUR","EURINR","OPTION","26-Mar-2025",87.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.3225,4.8475,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.085,"EURINR"
"10179","OPTCUR","EURINR","OPTION","26-Mar-2025",90.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.38,0.93,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.655,"EURINR"
"10219","OPTCUR","EURINR","OPTION","26-Mar-2025",94.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0375,0.1075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.0725,"EURINR"
"10129","OPTCUR","EURINR","OPTION","26-Mar-2025",84.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",5.7775,7.3175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",6.5475,"EURINR"
"10145","OPTCUR","EURINR","OPTION","26-Mar-2025",86.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",3.8025,5.3375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.57,"EURINR"
"10159","OPTCUR","EURINR","OPTION","26-Mar-2025",88.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",2.1975,3.6525,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.925,"EURINR"
"10174","OPTCUR","EURINR","OPTION","26-Mar-2025",90.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.97,2.105,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.5375,"EURINR"
"10197","OPTCUR","EURINR","OPTION","26-Mar-2025",92.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.2675,0.7875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",0.5275,"EURINR"
"10135","OPTCUR","EURINR","OPTION","26-Mar-2025",85.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",5.0325,6.5725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",5.8025,"EURINR"
"10143","OPTCUR","EURINR","OPTION","26-Mar-2025",86.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",4.0475,5.5825,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.815,"EURINR"
