"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"842068","FUTIND","BSESEN","FUTURE","25-Mar-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4640,0,20,5,"BSE SENSEX","","","","",67712.3,82759.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7383530,"SENSEX"
"842502","FUTIND","BANKEX","FUTURE","25-Mar-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",120,0,30,5,"BANKEX","","","","",50081.8,61211.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5523000,"BANKEX"
"857910","FUTIND","BSESEN","FUTURE","04-Mar-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",18040,0,20,5,"BSE SENSEX","","","","",67327.45,82289.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7342515,"SENSEX"
"859158","FUTIND","BSESEN","FUTURE","11-Mar-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",100,0,20,5,"BSE SENSEX","","","","",67450.7,82439.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7350615,"SENSEX"
"860966","FUTIND","BSESEN","FUTURE","18-Mar-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",67378.8,82351.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7590141,"SENSEX"
"874879","FUTIND","BANKEX","FUTURE","27-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,30,5,"BANKEX","","","","",50646.85,61901.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5543959,"BANKEX"
"861380","FUTIND","BANKEX","FUTURE","29-Apr-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",30,0,30,5,"BANKEX","","","","",50394.95,61593.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5544160,"BANKEX"
"863673","FUTIND","BSESEN","FUTURE","01-Apr-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",67546.95,82557.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7629360,"SENSEX"
"873372","FUTIND","BSESEN","FUTURE","08-Apr-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",67631.2,82660.35,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7596739,"SENSEX"
"874759","FUTIND","BSESEN","FUTURE","27-May-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",68223.95,83384.8,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7460212,"SENSEX"
"874853","FUTIND","BSESEN","FUTURE","15-Apr-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",67715.55,82763.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7460212,"SENSEX"
"861269","FUTIND","BSESEN","FUTURE","29-Apr-2025","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",360,0,20,5,"BSE SENSEX","","","","",67884.6,82970.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7490000,"SENSEX"
"820670","OPTIND","BSESEN","OPTION","25-Mar-2025","72000","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,1041.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7460212,"SENSEX"
"821012","OPTIND","BSESEN","OPTION","25-Mar-2025","72000","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",676.85,5239.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837482","OPTIND","BSESEN","OPTION","25-Mar-2025","83400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5952.05,11571.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837487","OPTIND","BSESEN","OPTION","25-Mar-2025","79100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",2035.6,6915.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837489","OPTIND","BSESEN","OPTION","25-Mar-2025","83700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,20.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837491","OPTIND","BSESEN","OPTION","25-Mar-2025","82200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,49.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837496","OPTIND","BSESEN","OPTION","25-Mar-2025","76900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",616.55,4558.9,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837500","OPTIND","BSESEN","OPTION","25-Mar-2025","77100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",717.8,4763.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837505","OPTIND","BSESEN","OPTION","25-Mar-2025","81700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,72.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837509","OPTIND","BSESEN","OPTION","25-Mar-2025","80200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,198.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837518","OPTIND","BSESEN","OPTION","25-Mar-2025","78900","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,428.55,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837519","OPTIND","BSESEN","OPTION","25-Mar-2025","77400","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,920.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837520","OPTIND","BSESEN","OPTION","25-Mar-2025","82500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5076.55,10620.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837521","OPTIND","BSESEN","OPTION","25-Mar-2025","84200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",6738.85,12405.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837527","OPTIND","BSESEN","OPTION","25-Mar-2025","80500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3209.75,8457.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837537","OPTIND","BSESEN","OPTION","25-Mar-2025","77700","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",1057.45,5392.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837539","OPTIND","BSESEN","OPTION","25-Mar-2025","76200","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",311.15,3869.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837541","OPTIND","BSESEN","OPTION","25-Mar-2025","80800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,134.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837544","OPTIND","BSESEN","OPTION","25-Mar-2025","82500","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,39.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837552","OPTIND","BSESEN","OPTION","25-Mar-2025","79700","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,270,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837556","OPTIND","BSESEN","OPTION","25-Mar-2025","78200","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,622.5,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837558","OPTIND","BSESEN","OPTION","25-Mar-2025","83300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5854.2,11466.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837574","OPTIND","BSESEN","OPTION","25-Mar-2025","82800","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",5366.9,10939.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837576","OPTIND","BSESEN","OPTION","25-Mar-2025","81300","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3937.95,9331.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837583","OPTIND","BSESEN","OPTION","25-Mar-2025","78500","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",40,0,20,5,"BSE SENSEX","","","","",1587.55,6256.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7319810,"SENSEX"
"837586","OPTIND","BSESEN","OPTION","25-Mar-2025","81600","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,77.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837587","OPTIND","BSESEN","OPTION","25-Mar-2025","80100","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,211.25,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837589","OPTIND","BSESEN","OPTION","25-Mar-2025","83300","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,21.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837597","OPTIND","BSESEN","OPTION","25-Mar-2025","78800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,452.85,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837605","OPTIND","BSESEN","OPTION","25-Mar-2025","84100","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",6640.2,12301.6,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837616","OPTIND","BSESEN","OPTION","25-Mar-2025","76800","CE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",0.05,1205.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837617","OPTIND","BSESEN","OPTION","25-Mar-2025","81900","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",4501.9,9979.05,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837619","OPTIND","BSESEN","OPTION","25-Mar-2025","80400","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",3121.15,8348.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
"837622","OPTIND","BSESEN","OPTION","25-Mar-2025","83600","PE",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,20,5,"BSE SENSEX","","","","",6148.2,11780.7,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7813901,"SENSEX"
